Date;Time;AirTemp;WaterTempMPEC;WaterTempAGH
2009-12-11;00:00;3.20;77.00;77.50
2009-12-11;00:05;3.15;77.13;77.50
2009-12-11;00:10;3.15;77.13;77.50
2009-12-11;00:15;3.15;77.13;77.38
2009-12-11;00:20;3.15;77.13;77.38
2009-12-11;00:25;3.15;77.13;77.38
2009-12-11;00:30;3.15;77.13;77.13
2009-12-11;00:35;3.15;77.13;77.13
2009-12-11;00:40;3.15;77.13;77.13
2009-12-11;00:45;3.15;77.13;77.13
2009-12-11;00:50;3.15;77.13;77.00
2009-12-11;00:55;3.15;77.13;77.00
2009-12-11;01:00;3.15;77.13;77.00
2009-12-11;01:05;3.05;77.38;76.75
2009-12-11;01:10;3.15;77.13;76.75
2009-12-11;01:15;3.15;77.13;76.75
2009-12-11;01:20;3.05;77.38;76.75
2009-12-11;01:25;3.05;77.38;76.75
2009-12-11;01:30;3.05;77.38;76.75
2009-12-11;01:35;3.15;77.13;76.75
2009-12-11;01:40;3.05;77.38;76.50
2009-12-11;01:45;3.05;77.38;76.50
2009-12-11;01:50;3.05;77.38;76.50
2009-12-11;01:55;3.05;77.38;76.38
2009-12-11;02:00;3.05;77.38;76.38
2009-12-11;02:05;3.05;77.38;76.38
2009-12-11;02:10;3.05;77.38;76.38
2009-12-11;02:15;3.05;77.38;76.38
2009-12-11;02:20;3.05;77.38;76.38
2009-12-11;02:25;3.05;77.38;76.38
2009-12-11;02:30;3.05;77.38;76.13
2009-12-11;02:35;3.05;77.38;76.13
2009-12-11;02:40;3.05;77.38;76.00
2009-12-11;02:45;3.05;77.38;76.00
2009-12-11;02:50;3.05;77.38;76.00
2009-12-11;02:55;3.00;77.50;76.00
2009-12-11;03:00;3.00;77.50;75.75
2009-12-11;03:05;3.00;77.50;75.75
2009-12-11;03:10;3.00;77.50;75.75
2009-12-11;03:15;3.00;77.50;75.75
2009-12-11;03:20;3.00;77.50;75.50
2009-12-11;03:25;2.90;77.75;75.50
2009-12-11;03:30;2.90;77.75;75.50
2009-12-11;03:35;2.90;77.75;75.50
2009-12-11;03:40;2.80;78.00;75.50
2009-12-11;03:45;2.80;78.00;75.50
2009-12-11;03:50;2.80;78.00;75.50
2009-12-11;03:55;2.80;78.00;75.50
2009-12-11;04:00;2.80;78.00;75.50
2009-12-11;04:05;2.80;78.00;75.50
2009-12-11;04:10;2.80;78.00;75.38
2009-12-11;04:15;2.80;78.00;75.38
2009-12-11;04:20;2.80;78.00;75.38
